participant_id,gender,CET4,CET6,age_group,short_ellipsis1,long_ellipsis1,long_ellipsis2,long_full1,long_full2,long_full3,long_ellipsis3,short_ellipsis2,long_full4,long_ellipsis4,short_full1,short_full2,short_ellipsis3,short_ellipsis4,short_ellipsis5,long_ellipsis5,short_full3,short_full4,long_ellipsis6,short_full5,short_ellipsis6,short_ellipsis7,long_full5,long_ellipsis7,long_full6,short_ellipsis8,short_full6,long_ellipsis8,long_full7,long_full8,long_full,long_ellipsis,short_full,short_ellipsis,long_full-short_full
50,1,524,510,21-23,7,6,6,7,7,2,6,6,6,5,6,7,7,6,6,7,7,6,7,7,7,5,5,5,5,6,7,6,7,7,3.75,6,6.66666666666667,6.25,2.91666666666667
59,0,468,441,21-23,1,1,5,1,1,3,2,7,3,7,6,7,3,3,7,7,6,7,1,7,2,3,7,6,6,7,6,7,7,6,5,4.5,6.5,4.125,1.5
4,0,442,,18-20,6,6,7,7,7,7,4,4,7,5,7,3,1,7,4,7,7,7,5,6,7,7,7,1,7,7,7,7,6,6,4.875,5.25,6.16666666666667,5.375,1.29166666666667
67,0,520,430,21-23,5,5,4,6,6,2,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,2,6,6,6,6,3,3,4.75,5.125,6,5.75,1.25
21,1,440,,18-20,5,5,7,5,7,7,7,7,7,7,7,7,5,5,6,7,6,5,5,5,2,6,7,2,5,7,5,5,5,7,5.75,5.625,5.83333333333333,5.375,0.083333333333333
68,0,449,,18-20,2,2,3,3,3,1,6,2,4,7,6,6,6,6,7,2,5,6,6,6,6,6,7,2,6,6,6,5,6,6,5.125,4.125,5.83333333333333,5.125,0.708333333333333
7,0,438,420,21-23,4,4,4,5,5,5,6,4,5,4,5,5,5,5,4,6,6,7,5,5,6,5,6,5,5,5,5,5,6,6,5.375,4.875,5.5,4.75,0.125
3,0,428,,24+,1,2,5,3,5,3,5,4,5,4,3,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,4,6,3.75,4.75,5.5,5.125,1.75
41,0,505,,21-23,5,6,2,1,3,4,3,1,7,7,7,4,4,3,3,4,4,6,6,7,5,7,6,3,6,5,4,5,4,3,4.75,4.5,5.33333333333333,4.125,0.583333333333333
65,1,427,451,18-20,6,6,3,2,3,4,6,6,6,6,5,3,5,6,6,6,6,5,5,7,6,5,6,6,3,6,6,6,3,3,4,5.5,5.33333333333333,5.75,1.33333333333333
36,0,510,530,18-20,6,5,5,4,5,3,6,7,5,6,5,5,5,5,6,5,6,6,6,6,5,5,5,5,5,6,4,6,4,3,3.625,5.5,5.33333333333333,5.625,1.70833333333333
44,1,425,344,21-23,4,3,5,5,5,5,2,2,5,6,6,4,3,5,5,6,6,4,4,6,2,2,2,3,2,5,5,5,3,6,4.875,4.25,5.16666666666667,3.5,0.291666666666667
16,1,567,,18-20,2,2,2,2,2,2,5,5,2,3,5,6,3,3,3,5,5,5,5,5,3,6,3,2,3,5,5,5,3,3,2.5,3.625,5.16666666666667,3.75,2.66666666666667
28,1,436,376,21-23,2,6,3,5,4,5,5,5,4,4,4,5,5,4,4,5,5,5,5,6,5,3,4,5,5,5,5,5,5,4,4.75,4.75,5,4.125,0.25
2,1,500,480,24+,5,4,5,5,6,5,4,5,4,5,5,5,5,5,4,5,5,5,6,5,5,6,5,6,6,6,5,6,5,5,4.625,5.125,5,5.125,0.375
42,0,486,,24+,5,5,3,6,6,6,5,6,4,5,5,6,5,6,6,5,5,5,6,6,5,5,6,5,6,4,3,5,4,4,4.375,4.875,5,5.25,0.625
46,0,442,,18-20,7,5,6,4,5,6,6,5,3,5,4,5,5,6,5,5,6,5,4,5,4,5,3,2,3,5,5,3,3,3,4,4.5,5,5.25,1
58,1,592,451,18-20,5,5,5,5,5,1,5,3,2,2,6,4,5,3,3,5,2,5,6,6,3,5,3,3,5,4,5,5,3,5,4.75,4.5,4.66666666666667,3.875,-0.083333333
47,0,550,525,18-20,1,1,1,1,1,1,2,2,6,6,5,1,6,2,3,7,3,6,5,7,6,1,5,2,6,2,6,5,3,2,4.375,3.625,4.66666666666667,2.875,0.291666666666667
52,0,602,486,18-20,3,3,5,4,4,4,6,6,4,6,5,5,4,4,5,5,4,4,4,5,6,5,4,4,5,5,4,4,5,5,4.5,4.625,4.5,4.75,0
70,1,582,522,21-23,6,4,3,4,5,5,4,6,6,6,4,4,3,6,4,4,4,6,3,4,4,5,4,5,4,4,5,4,6,5,4,4.125,4.5,4.75,0.5
5,0,368,,21-23,4,4,3,6,6,6,5,6,6,4,5,5,5,3,5,6,3,5,4,5,5,3,5,5,5,2,3,5,3,5,4.75,4.5,4.33333333333333,4.125,-0.416666667
14,1,545,,18-20,3,3,3,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,3,3,5,5,3,5,5,5,4,3,5,4.375,3.875,4.33333333333333,4.5,-0.041666667
37,1,425,425,24+,3,3,5,3,3,4,3,6,2,5,5,4,2,6,3,5,5,3,5,5,2,2,3,3,2,3,4,3,3,3,3.5,4,4.33333333333333,3.375,0.833333333333333
54,1,438,,21-23,6,6,6,3,5,3,5,2,7,6,3,6,2,2,6,4,5,6,3,2,6,7,1,4,4,6,4,3,5,2,2.875,4.625,4.33333333333333,4.625,1.45833333333333
9,0,400,,21-23,5,5,5,5,6,3,5,3,5,3,5,5,6,4,5,4,3,6,6,5,4,6,3,6,4,6,2,5,2,1,2.625,4.875,4.33333333333333,4.875,1.70833333333333
35,1,516,442,18-20,2,2,3,5,3,2,7,7,7,7,2,2,2,2,7,2,7,2,7,5,2,7,7,7,7,7,7,7,7,2,4.875,5.25,4.16666666666667,4.5,-0.708333333
72,1,562,437,18-20,3,4,3,5,3,4,4,4,3,3,3,5,5,5,5,4,3,5,4,5,4,5,4,3,5,5,4,5,4,5,4.5,3.75,4.16666666666667,4.5,-0.333333333
1,1,560,433,18-20,4,3,2,3,4,4,4,5,5,5,5,4,3,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4.375,3.625,4.16666666666667,4,-0.208333333
62,0,525,,21-23,6,6,6,6,6,3,5,5,5,5,6,2,6,6,5,6,6,5,5,5,6,5,6,3,5,6,1,6,6,5,3.75,5.25,4.16666666666667,5.625,0.416666666666667
15,0,525,,21-23,5,4,3,4,2,3,5,3,3,5,3,7,6,5,4,6,6,2,3,2,6,3,3,5,6,4,4,3,3,6,3.75,4.25,4,4.5,0.25
38,1,555,530,24+,6,2,4,3,3,3,5,5,4,6,4,4,6,6,6,6,4,4,6,4,4,5,4,4,3,6,4,6,4,4,3.75,4.875,4,5.5,0.25
61,0,575,531,18-20,5,3,5,4,4,2,4,5,3,5,3,5,5,5,5,3,3,5,3,5,3,3,5,3,3,3,3,3,6,3,3.375,3.625,4,4.25,0.625
39,0,510,,21-23,2,2,2,1,1,2,2,2,2,4,4,2,4,5,5,3,5,4,3,5,5,5,2,5,3,6,3,4,5,5,4.375,3.125,3.83333333333333,4.25,-0.541666667
73,0,507,,21-23,3,2,3,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.375,3.83333333333333,3.875,-0.166666667
25,0,556,485,24+,3,3,5,2,2,2,6,7,2,7,5,2,3,7,7,6,4,3,7,3,7,3,5,2,7,3,6,3,7,5,3.75,4.875,3.83333333333333,5,0.0833333333333335
71,0,431,286,21-23,2,2,2,5,5,3,4,4,3,3,3,3,3,3,3,5,5,4,5,4,5,5,5,5,5,5,4,5,4,4,3.625,3.875,3.83333333333333,3.75,0.208333333333333
99,,498,,24+,3,6,6,5,6,5,6,3,3,4,5,4,3,5,3,4,3,4,3,4,3,3,3,2,5,4,3,4,3,3,2.875,4.375,3.83333333333333,3.375,0.958333333333333
29,0,456,430,21-23,1,6,2,2,3,3,3,3,3,3,3,3,3,3,3,5,4,4,3,4,4,3,3,4,3,3,3,4,3,4,3.125,3.75,3.5,2.875,0.375
13,0,437,,21-23,6,5,4,2,2,5,5,6,5,5,5,3,5,3,5,3,2,3,2,6,6,6,4,6,2,6,2,2,2,2,3.125,4,3.5,5.375,0.375
56,0,469,,21-23,2,2,3,1,1,1,3,3,1,3,7,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,5,2.375,2.875,3.5,2.875,1.125
8,1,446,,21-23,2,2,4,4,6,4,6,2,5,7,2,2,2,2,7,2,2,2,7,6,4,2,2,1,2,6,6,2,7,2,3.125,3.875,3.33333333333333,3.375,0.208333333333333
34,0,580,520,21-23,2,3,3,3,3,2,2,2,2,5,3,2,3,2,5,4,3,2,4,3,3,5,3,5,5,5,5,4,3,4,3.625,3.75,3,3.375,-0.625
10,0,555,503,18-20,2,4,3,1,4,4,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2.125,3.25,3,3,0.875
18,1,545,565,21-23,3,4,3,1,1,2,4,4,2,5,3,4,4,4,4,3,2,3,3,3,3,1,2,3,3,3,2,3,3,3,3.375,3.5,2.83333333333333,3.25,-0.541666667
51,0,572,,18-20,3,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,2,3,2,2,2,3,2,3,3,3,3,3,3.25,2.75,2.83333333333333,2.5,-0.416666667
27,0,477,507,21-23,3,5,5,4,3,5,3,5,5,5,5,3,3,5,3,4,2,2,2,2,3,3,5,3,2,3,2,3,4,3,3.375,3.75,2.66666666666667,3.5,-0.708333333
63,0,580,540,21-23,4,4,5,4,3,5,4,4,1,4,1,1,1,1,4,1,5,7,7,1,4,1,1,1,1,6,1,7,7,7,3,4.125,2.66666666666667,3.125,-0.333333333
43,0,540,470,18-20,6,5,7,6,4,3,7,7,3,5,5,2,5,4,5,5,3,2,5,2,5,6,2,2,2,3,2,6,5,2,2.75,5.25,2.66666666666667,5.125,-0.083333333
19,0,531,454,24+,2,2,2,2,2,2,3,3,3,5,2,3,6,6,6,5,2,2,2,2,2,4,3,3,2,2,2,5,5,5,2.5,3.375,2.16666666666667,3.875,-0.333333333
40,0,590,,21-23,4,4,1,2,6,3,3,3,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2.5,2.375,2,2.5,-0.5
45,0,583,464,18-20,7,6,2,1,1,1,7,6,2,2,2,2,1,1,6,6,2,2,3,3,2,2,1,2,1,2,1,2,1,1,1.25,3.75,2,3.375,0.75
17,1,582,518,24+,6,3,2,6,2,2,6,6,2,6,1,1,3,3,3,3,2,2,6,2,7,7,1,2,1,1,1,6,1,1,2.125,4.25,1.5,4.5,-0.625
